Ref,Type,epsC,epsH,CIepsC,CIepsH
Feisthauer et al. (2011),Pure Culture,-27.9,-231.5,1.7,30.3
Feisthauer et al. (2011),Pure Culture,-18.8,-136.8,1.4,20.1
Feisthauer et al. (2011),Pure Culture,-19.1,-168.2,1,9.1
Feisthauer et al. (2011),Pure Culture,-27.7,-225.5,2.3,17.8
Feisthauer et al. (2011),Pure Culture,-14.8,-110,0.9,11.5
Feisthauer et al. (2011),Pure Culture,-22.9,-192,3.2,28.5
Feisthauer et al. (2011),Pure Culture,-21.5,-182.6,2.7,23.7
Coleman et al. (1981),Enrichment,-24.6,-245.3,0.7,14.2
Coleman et al. (1981),Enrichment,-12.8,-93.4,0.2,4.9
Coleman et al. (1981),Enrichment,-23.8,-229,1.4,1.2
Coleman et al. (1981),Enrichment,-15.4,-229,0.3,1.2
Kinnaman et al. (2007),Enrichment,-26.6,-156.4,1.6,NaN
Kinnaman et al. (2007),Enrichment,-24.9,-319.9,1.2,NaN
Powelson et al. (2007),Enrichment,-17.7,-138.5,0.5,8.5
Powelson et al. (2007),Enrichment,-23.8,-191.6,0.6,3.2
